name,description,recipe_code,image_url
Filet de poisson pané maison,"Le poisson pané est un des plats que tout le monde aime! En plus d'être facile à faire, cette recette plaira aux petits comme aux grands.",1,https://res.cloudinary.com/dodtdqhy0/image/upload/v1637661819/poissonpan%C3%A9_cd6dm1.webp
Hamburger au steak et au fromage,"Une recette simple et rapide à réaliser, classique mais toujours efficace !",2,https://res.cloudinary.com/dbogiehad/image/upload/v1637671953/recipes/i42852-hamburger_ypq7cg.webp
"Filets de daurade au four, ail et huile d’olive au basilic","Et si à Noël, nous mangions du poisson et nous succombions à ces filets de daurade ? Alors, sans aucune dérobade, laissez-vous tenter. C’est si bon !",3,https://res.cloudinary.com/dodtdqhy0/image/upload/v1637663198/dorade_au_four_uwxiud.webp
Blancs de poulet légers au yaourt et citron vert,Une délicieuse recette légère de blancs de poulet avec une sauce light au yaourt relevé d'une touche de citron !,4,https://res.cloudinary.com/dodtdqhy0/image/upload/v1637665691/poulet_yaourt_phpcur.jpg
Carottes rôties au miel,Une recette simple pour préparer les carottes avec une petite touche gourmande apportée par le miel. Une recette parfaite pour accompagner la viande rouge.,5,https://res.cloudinary.com/dodtdqhy0/image/upload/v1637666728/carottes_r%C3%B4ties_dxwyo0.jpg
Quiche au chèvre et saumon,Une quiche fondante au saumon frais et au chèvre qui ravira vos papilles.,6,https://res.cloudinary.com/dodtdqhy0/image/upload/v1637668715/quiche_saumon_chevre_nzmaiv.jpg
"Gratin de pâtes aux lardons, reblochon et champignons",Préparez ce beau gratin de pâtes pour vous régaler et vous réchauffer !,7,https://res.cloudinary.com/dbogiehad/image/upload/v1637671953/recipes/gratinpatelardonsreblochon-1000x500_tjsicb.jpg
Gratin dauphinois allégé au fromage frais et curry,Une délicieuse recette de gratin dauphinois allégée au fromage frais et curry pour se régaler sans culpabiliser.,8,https://res.cloudinary.com/dbogiehad/image/upload/v1637675188/recipes/gratin-dauphinois-allege-au-fromage-frais-et-curry-1_tbqp08.jpg
oeufs en cocotte d'avocat,Une délicieuse recette facile et saine.,9,https://res.cloudinary.com/dbogiehad/image/upload/v1637683610/recipes/oeufcocotteavocat-16513-1000x500_u8qgl7.jpg
Salade vegan arc-en-ciel,Une recette vegan colorée et vitaminée avec une pointe d'acidité. Parfaite pour faire le plein de vitamines pendant l'hiver !,10,https://res.cloudinary.com/dbogiehad/image/upload/v1637684826/recipes/salade-vegan-arc-en-ciel-1_t6much.jpg
Tartare de légumes,"Voici une entrée vitaminée et entièrement végétarienne, facile et rapide à préparer, et sans cuisson ! Profitons de la fin de l'été pour savourer cette douceur !",11,https://res.cloudinary.com/dbogiehad/image/upload/v1637687200/recipes/tartare-de-legumes-1_abvwl4.jpg
